GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-women-of-reproductive-age-number-%28in-thousands%29,2007,2007,2007,EMR,Eastern Mediterranean,ARE,United Arab Emirates,SEX,SEX_FMLE,Female,307.5,307.5 [152.6-551.9],152.6,551.9
NCD_BMI_MINUS2C,"Thinness among children and adolescents, BMI-for-age < -2 standard deviations below the median (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-thinness-among-children-and-adolescents-bmi--2-standard-deviations-below-the-median-%28crude-estimate%29-%28-%29,2011,2011,2011,EMR,Eastern Mediterranean,ARE,United Arab Emirates,SEX,SEX_BTSX,Both sexes,3.0366322,3.0 [1.6-5.2],1.6013892,5.1615249
NCD_BMI_PLUS2C,"Obesity among children and adolescents, BMI-for-age > +2 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-children-and-adolescents-bmi-2-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2001,2001,2001,EMR,Eastern Mediterranean,ARE,United Arab Emirates,SEX,SEX_MLE,Male,15.679166,15.7 [11.7-20.2],11.65641,20.241272
NCD_BMI_PLUS1C,"Overweight among children and adolescents, BMI-for-age > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-overweight-among-children-and-adolescents-bmi-1-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2001,2001,2001,EMR,Eastern Mediterranean,ARE,United Arab Emirates,SEX,SEX_MLE,Male,31.33319,31.3 [22.8-40.9],22.801144,40.925854
NCD_BMI_MINUS2C,"Thinness among children and adolescents, BMI-for-age < -2 standard deviations below the median (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-thinness-among-children-and-adolescents-bmi--2-standard-deviations-below-the-median-%28crude-estimate%29-%28-%29,2013,2013,2013,EMR,Eastern Mediterranean,ARE,United Arab Emirates,SEX,SEX_MLE,Male,3.1700432,3.2 [1.2-6.5],1.2114329,6.5088727
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-children-under-5-years-number,2015,2015,2015,EMR,Eastern Mediterranean,ARE,United Arab Emirates,SEVERITY,SEVERITY_MODERATE,Moderate,23.5,23.5 [7.01-57.7],7.01,57.7
NCD_BMI_MINUS2C,"Thinness among children and adolescents, BMI-for-age < -2 standard deviations below the median (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-thinness-among-children-and-adolescents-bmi--2-standard-deviations-below-the-median-%28crude-estimate%29-%28-%29,2011,2011,2011,EMR,Eastern Mediterranean,ARE,United Arab Emirates,SEX,SEX_MLE,Male,4.177887,4.2 [2.8-5.9],2.8465942,5.9421707
NCD_BMI_PLUS2C,"Obesity among children and adolescents, BMI-for-age > +2 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-children-and-adolescents-bmi-2-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2003,2003,2003,EMR,Eastern Mediterranean,ARE,United Arab Emirates,SEX,SEX_MLE,Male,14.830512,14.8 [7.7-24.0],7.739047,23.993689
NCD_BMI_PLUS1C,"Overweight among children and adolescents, BMI-for-age > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-overweight-among-children-and-adolescents-bmi-1-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,1995,1995,1995,EMR,Eastern Mediterranean,ARE,United Arab Emirates,SEX,SEX_MLE,Male,26.264384,26.3 [17.3-36.5],17.323229,36.514056
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-non-pregnant-women-number-%28in-thousands%29,2004,2004,2004,EMR,Eastern Mediterranean,ARE,United Arab Emirates,SEVERITY,SEVERITY_TOTAL,Total,18.9,18.9 [8.6-35.6],8.6,35.6
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-children-under-5-years-number,2014,2014,2014,EMR,Eastern Mediterranean,ARE,United Arab Emirates,SEX,SEX_BTSX,Both sexes,97.811,98 [44-176],44,176
